Algoritmo;Threads;Input_Expressao;Repeticao;Tempo;Expressao_Encontrada;Literais;Clock_Time;Service_Time;Wait_Time
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));11;0,073608;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,567129;0,026204;0,284662
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));12;0,046742;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,385506;0,025324;0,283651
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));13;0,049988;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,413416;0,027147;0,306444
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));14;0,073751;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,572960;0,030063;0,311895
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));15;0,067082;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,545055;0,024547;0,275819
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));16;0,060713;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,476217;0,025671;0,284076
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));17;0,078557;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,601309;0,033600;0,357782
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));18;0,046800;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,401335;0,024895;0,285964
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));19;0,066964;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,517938;0,025377;0,281134
Paralelo;8;((z * x * w) + (y * x * w) + (!z * !y * !x * w));20;0,046108;W*(Z+!X+Y)*(X+(!Z*!Y));7;0,372856;0,024648;0,279266
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));1;0,205803;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));2;0,222914;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));3;0,199363;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));4;0,196743;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));5;0,202986;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));6;0,204072;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));7;0,204875;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));8;0,198686;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));9;0,198336;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));10;0,202992;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));11;0,207603;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));12;0,200554;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));13;0,208587;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));14;0,201729;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));15;0,206511;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));16;0,200808;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));17;0,201511;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));18;0,204609;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));19;0,218992;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Sequencial;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));20;0,207563;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0;0;0
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));1;0,409239;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,436906;0,192862;0,092303
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));2;0,400682;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,427826;0,187361;0,092393
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));3;0,407895;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,435353;0,192871;0,092284
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));4;0,406050;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,433532;0,188183;0,094088
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));5;0,403331;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,430662;0,187936;0,092102
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));6;0,394423;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,419478;0,183155;0,091478
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));7;0,432462;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,443797;0,204879;0,095959
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));8;0,407736;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,418442;0,190155;0,095333
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));9;0,403790;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,414377;0,186553;0,095106
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));10;0,416115;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,427023;0,192794;0,096933
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));11;0,416391;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,427340;0,194426;0,096062
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));12;0,412388;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,423227;0,190602;0,096243
Paralelo;1;((z * x * w) + (y * x * w) + (!z * !y * !x * !w));13;0,419367;(X+!W)*(Z+!X+Y)*(W+(!Z*!Y));8;0,430383;0,196942;0,095553
